nombre,tipo_unidad,domicilio,asentamiento,ciudad,cp,estado,municipio,no_tel,responsable_puesto,pagina_web,correo_electronico,mineral,realiza,longitud_x,latitud_y,fecha_actualizacion
"Beneficio de Minerales Herimovi, S.A. de C.V.",Empresa,Ctra. Letra Ext. Colonia Domicilio conocido,San Francisco,Topia,34544,Durango,Topia,618 170 9187,"Monarrez Madrid Vivaldo, Director general",s/i,vivaldo_monarrez_madrid@hotmail.com,"Cobre, oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-106.491496,25.242135,jan-25
"CONCRETEV, S.A. de C.V.",Empresa,"Perif. Carlos Pellicer Cámara, Arco Norte s/n. Colonia La Manga II",La Manga II,Centro,86068,Tabasco,Centro,993 185 1012,"Contreras Yedra Ana Esperanza, Gerente general",concretev.com,ana.contreras@concretev.com,Concreto,"Comercialización, fabricación",-92.902841,18.003394,feb-25
"Cal Química Mexicana, S.A. de C.V.",Empresa,"Ctra. 57, tramo SLP-Huizache. Colonia San Francisco",Los Gómez,Soledad de Graciano Sánchez,78438,San Luis Potosí,Soledad de Graciano Sánchez,444 818 1516,"Pérez Salazar Bautista Jorge, Director general",www.calidra.com.mx,s/i,Caliza,Extracción,-100.90386,22.14991,jan-25
"Cal Química de Cosolapa, S. de R.L. de C.V.",Empresa,Domicilio conocido. Colonia El Nacimiento,Cosolapa Centro,Cosolapa,68415,Oaxaca,Cosolapa,278 736 0018,"Sánchez Zybaja Armando, Encargado de la planta",s/i,trimasa@outlook.com,"Cal hidratada, caliza","Comercialización, explotación",-96.668483,18.602288,jan-25
"Cal de Alta Pureza, S. de R.L. de C.V.",Empresa,57 Pte. n.° 314. Colonia El Cerrito,El Cerrito,Puebla,72440,Puebla,Puebla,222 211 2470,"Cuan Alarcón Mario, Representante legal",oxical.mx/index,jmgonzalez@oxical.mx,Carbonato de calcio,"Comercialización, fabricación",-98.214668,19.021362,jan-25
"Cal del Valle, S.A. de C.V.",Empresa,Av. José Morelos n.° 28. Colonia Centro,La Mora,Progreso de Obregón,42743,Hidalgo,Progreso de Obregón,738 725 1442,"Avilés Elizabeth, Administradora",s/i,elizabeth.aviles@caldelvalle,Caliza,"Comercialización, extracción",-99.197369,20.326769,jan-25
"Calcio y Derivados de Zaragoza, S.A. de C.V.",Empresa,Negrete n.° 1710. Colonia La Barranca,La Barranca,Zaragoza,79543,San Luis Potosí,Zaragoza,444 139 8190,"Crespo Alonso Paloma Rosalía, Gerente",s/i,paloma_21@hotmail.com,Caliza,Compra,-100.741968,22.034886,jan-25
"Calcitas y Mármoles del Tathí, S.C. de R.L. de C.V.",Empresa,La Sabina n.° 6. Colonia Centro,La Sabina,Zimapán,42336,Hidalgo,Zimapán,759 728 2639,"Martínez Hernández José, Representante legal",s/i,tathimarmoles@yahoo.com.mx,Caliza recristalizada,Extracción,-99.384561,20.732177,jan-25
"Caleras Bertrán, S.A. de C.V.",Empresa,República de Nicaragua n.° 106. Colonia Centro,Bóvedas,Atotonilco de Tula,42982,Hidalgo,Atotonilco de Tula,778 735 0078,"Ramos Padilla Alberto, Director general",www.caleasbertran.com.mx,rh@bertran.com.mx,Cal hidratada,Extracción,-99.220418,20.012088,jan-25
Caleras Maciel,Empresa,Predio Miravalle 1700. Colonia Miravalle,Miravalle,Tuxtla Gutiérrez,29039,Chiapas,Tuxtla Gutiérrez,961 618 1306,"Ruíz Zavaleta Federico, Director general",s/i,calerasmaciel@hotmail.com,Cal hidratada,Comercialización,-93.125178,16.774942,jan-25
"Caleras de Bernal, S.A. de C.V.",Empresa,Ctra. Bernal-Tolimán km 5.0. Colonia San Antonio de la Cal,San Antonio de la Cal,Tolimán,76649,Querétaro,Tolimán,441 296 4370,s/i,bertran.com.mx,bernal@bertran.com.mx,"Agregados pétreos, cal","Comercialización, fabricación",-99.916056,20.772833,jan-25
"Calizas Industriales del Carmen, S.A. de C .V.",Empresa,"Ctra. Chetumal-Cancún, km 282.6. Colonia Playa del Carmen",Playa del Carmen,Solidaridad,77710,Quintana Roo,Solidaridad,984 871 5100,"Enríquez Ernesto, Director general",sactun.com,s/i,"Arena, caliza, grava","Comercialización, extracción",-87.151222,20.587852,jan-25
"Calizas y carbonatos Rossini, S.A. de C.V.",Empresa,Jesús García Corona n.° 5. Colonia Centro,Centro,Zimapán,42330,Hidalgo,Zimapán,759 728 2652,"Rosas Zenil Alfonso, Gerente general",s/i,calcitasycarbonatosrossini@yahoo.com,Mármol,Compra,-99.383016,20.736335,jan-25
Canteras de Magdalena,Empresa,Camino a Xochimilco s/n. Colonia Magdalena Apasco,Magdalena Apasco,Magdalena Apasco,68226,Oaxaca,Magdalena Apasco,951 128 2094,"Cruz Martínez Juan Adolfo, Dueño",s/i,canteras_de_magdalena@hotmail.com,Caliza,Comercialización,-96.828363,17.238479,jan-25
"Carbonatos Industriales, S.A. de C.V.",Empresa,El Rosario s/n. Colonia El Calvario,El Calvario,Zimapán,42337,Hidalgo,Zimapán,759 728 7274,"Ocampo Rodríguez Sergio, Jefe de producción",s/i,carinzazimapan@prodigy.net.mx,Carbonato de calcio,Compra,-99.391431,20.734654,jan-25
"Carrizal Mining, S.A. de C.V.",Empresa,Ex hacienda La Llave s/n. Colonia La Llave,La Llave,Zimapán,42336,Hidalgo,Zimapán,771 489 1090,"Silva Ramos Carlos Alberto, Contacto",www.santacruzsilver.com,info@santacruzsilver.com,"Cobre, plomo, zinc","Comercialización, extracción",-99.382917,20.732306,jan-25
"Cementos y Concretos Nacionales, S.A. de C.V.",Empresa,Ctra. Carboneras-Arroyo Hondo km 4. Colonia Arroyo Hondo,Arroyo Hondo,Tepezalá,20657,Aguascalientes,Aguascalientes,449 910 9100,"Terán Montero Higinio, Gerente general",www.cycna.mx,contacto@cycna.com.mx,"Cemento, cemento blanco, cemento mortero",Comercialización,-102.205128,22.185036,jan-25
"Cemex Concretos, S.A. de C.V. (Oficina 1)",Empresa,Ctra. Palenque a Pakalna. Colonia Centro,Palenque Centro,Palenque,29960,Chiapas,Palenque,993 116 2651,"González Olivieri Fernando, Director general",www.cemexmexico.com,webmaster@cemex.com,Arena y grava,Comercialización,-91.993254,17.520549,jan-25
"Cemex Concretos, S.A. de C.V. (Oficina 2)",Empresa,Tercera cerrada de Minas n.° 42. Colonia Francisco Villa,Francisco Villa,Álvaro Obregón,1280,Ciudad de México,Álvaro Obregón,818 300 1000,"Inzunza Marco, Director de ingeniería y proyectos",www.cemexmexico.com,marcoavelino.inzunza@cemex.com,"Arcilla, arena, caliza, grava, yeso","Comercialización, fabricación",-99.208166,19.384328,feb-25
"Cemex México, S.A. de C.V.",Empresa,Blvd. García Morales n.° 52. Colonia El Llano,El Llano,Hermosillo,83210,Sonora,Hermosillo,662 259 0100,"Gómez Chávez Yesica, Encargada de recursos humanos",www.cemexmexico.com,monica.rojas@cemex.com,Cemento,"Comercialización, extracción",-110.998344,29.093958,jan-25
"Cemex, S.A.B. de C.V.",Empresa,Costitucción n.° 444. Colonia Centro,Monterrey Centro,Monterrey,64000,Nuevo León,Monterrey,818 328 3000,"González Olivieri Fernando, Director general",www.cemexmexico.com,contacto@cemex.com.mx,Cemento,"Distribución de material de construcción, extracción",-100.32567,25.667,jan-25
"Chapultepec Mining Corporation, S.A. de C.V.",Empresa,"Av. Teniente José Azueta n.° 130, recinto portuario. Colonia Sección Primera",Sección Primera,Ensenada,22800,Baja California,Ensenada,646 173 2029,s/i,s/i,s/i,"Cobre, hierro, manganeso","Exploración, extracción",-116.631583,31.860444,jan-25
"Cocopesa del Caribe, S.A. de C.V.",Empresa,Av. Constituyente s/n. Colonia Playa del Carmen,Ejidal,Solidaridad,77712,Quintana Roo,Bacalar,984 873 3726,s/i,www.cocopesadelcaribe.com.mx,edcocopesa@gmail.com,Agregados pétreos,"Comercialización, distribución de material de construcción",-87.080997,20.637204,jan-25
Coeur Mexicana Las Chispas,Empresa,C. Valle Escondido n.° 5500-401. Colonia Fracc. Desarrollo el Saucito,Jardines del Saucito,Chihuahua,31123,Chihuahua,Chihuahua,614 236 2800,"Díaz Castro Julio Alberto, Gerente general",s/i,palmarejo@coeur.com.mx,"Oro, plata","Desarrollo minero, exploración, explotación",-106.136776,28.655816,jan-25
Coeur Mexicana Palmarejo,Empresa,"Blvd. Luis Encinas n.° 604, interior A. Colonia El Torreón",Torreón,Hermosillo,83204,Sonora,Hermosillo,662 216 9729,"Krebs Mitchell J., Presidente",coeur.com,corporatecommunications@coeur.com,"Oro, plata",Explotación,-110.987394,29.09327,apr-25
"Comercializadora y Agregados Marogu, S.A. de C.V.",Empresa,Ctra. Villahermosa-Reforma km 7.5. Colonia Río Viejo 1.ª sección,Río Viejo 1a Sección,Centro,86127,Tabasco,Macuspana,993 142 8282,"De La Rosa Gutiérrez Mario Antonio, Director general",marogu.com,contacto@marogu.com,"Agregados pétreos, arena, grava","Comercialización, extracción",-92.988684,17.9247,jan-25
"Compañía Constructora y Agregados del Sureste, S.A. de C.V.",Empresa,Av. Primera Norte n.° 130. Colonia Centro,Tapachula Centro,Tapachula,30700,Chiapas,Tapachula,962 118 0431,"Bocanegra Sosa Óscar Eduardo, Representante legal",s/i,s/i,Arena y grava,"Comercialización, extracción",-92.341811,14.891119,jan-25
"Compañía Minera Cuzcatlán, S.A. de C.V.",Empresa,Arquímedes n.° 15. Colonia Polanco,Polanco V Sección,Miguel Hidalgo,11560,Ciudad de México,Miguel Hidalgo,951 502 0010,s/i,s/i,s/i,"Oro, plata","Comercialización, explotación",-99.19149,19.427694,jan-25
"Compañía Minera La Llamarada, S.A. de C.V.",Empresa,Av. Paseo de la Floresta 65. Colonia Valle Grande,Valle Grande,Hermosillo,83205,Sonora,Hermosillo,662 213 7823,"Araiza Martínez Héctor, Gerente",www.silvercrestmetals.com,hectoraraiza@tintoroca.com,"Oro, plata",Explotación,-110.976139,29.086056,jan-25
"Compañía Minera Metalúrgica Luz María, S.A. de C.V.",Empresa,Prof. Guadalupe Patoni n.° 156. Colonia Del Maestro,Del Maestro,Durango,34240,Durango,Durango,618 818 3516,"Martínez Gómez José, Director general y CEO",s/i,jomargo@jomargo.com.mx,"Cobre, oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-104.639855,24.030568,jan-25
"Compañía Minera Mexicana de Avino, S.A. de C.V.",Empresa,Peñón Blanco n.° 125. Colonia Lomas del Parque,Lomas del Parque,Durango,34100,Durango,Durango,618 145 2667,"Rodríguez Moreno José Carlos, Director de operaciones",www.avino.com,crodriguez@avino.com,"Cobre, oro, plata","Desarrollo minero, exploración, explotación, extracción",-104.691624,24.016158,jan-25
"Compañía Minera Pangea, S.A. de C.V.",Empresa,Blvd. Antonio Rosales 855 Altos 12. Colonia Morelos,Del Evora,Salvador Alvarado,81460,Sinaloa,Salvador Alvarado,673 734 1990,"Grande Fonseca Santiago, Gerente general en México",www.mcewenmining.com,s/i,"Oro, plata",Explotación,-108.075268,25.454126,mar-25
"Compañía Minera Parreña, S.A. de C.V.",Empresa,Conocido s/n. Colonia Ejido Milpillas,Santa Cruz,Santa Cruz,84140,Sonora,Cananea,632 108 1800,"Gutiérrez Magallanes Pedro, Gerente",www.penoles.com.mx,pedro_gutierrez@penoles.com.mx,"Cobre, molibdeno",Explotación,-110.428,31.114,jan-25
Compañía Minera Pitalla,Empresa,"Blvd. Carlos Quintero Arce 24, sur B. Colonia Puerta Grande",Puerta Grande,Hermosillo,83247,Sonora,Hermosillo,662 264 8191,"Encinas Cabrera Manuel, Gerente general",www.argonautgold.com,manuel.encinas@argonautgold.com,"Oro, plata",Explotación,-110.995361,29.14375,jan-25
"Compañía Minera Real de la Bufa, S.A. de C.V.",Empresa,Paloma n.° 120. Colonia Zona Centro,Victoria de Durango Centro,Durango,34000,Durango,Durango,618 129 5416,"Alexandri Rionda Armando, Director de operaciones",www.lucamining.com,ir@lucamining.com,"Cobre, oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-106.613304,25.4235,jan-25
"Compañía Minera Real del Oro, S.A. de C.V.",Empresa,Universidad n.° 234. Colonia Lomas del Guadiana,Lomas del Guadiana,Durango,34110,Durango,Durango,618 837 1230,"Zavala Peña Nahum, Gerente",www.argonautgold.com,nahum.zavala@argonautgold.com,"Oro, plata","Desarrollo minero, estudio de suelos (taludes), exploración, explotación, extracción",-104.679418,24.026055,jan-25
"Compañía Minera Suiza Mexicana, S. A. de C. V.",Empresa,Ctra. Minatitlán-Villa de Álvarez 49. Colonia Rancho Benjamín Campos,sin dato,sin dato,28750,Colima,Colima,312 314 8448,"Delgadillo Delgadillo Radamés, Jefe de brigada de exploración",s/i,lcastror63@gmail.com,Hierro,Explotación,-104.1,19.5,jan-25
"Compañía Salinera de Yavaros, S.A.",Empresa,Francisco Javier Mina n.° 110. Colonia Centro,Navojoa Centro,Navojoa,85800,Sonora,Navojoa,642 422 0076,"Karam López José Alejo, Jefe de planta",s/i,salinerayavaros@prodigy.net.mx,Sal,"Comercialización, extracción",-109.445694,27.08475,jan-25
Concretos Gorsa Mérida,Empresa,Perif. De Mérida Lic. Manuel Berzunza. Colonia El Roble II,El Roble II,Mérida,97255,Yucatán,Mérida,s/i,s/i,s/i,s/i,Agregados pétreos,"Comercialización, extracción",-89.681389,20.911389,jan-25
"Concretos Prefabricados y Materiales, S.A. de C.V. (Triaco)",Empresa,Aeropuerto n.° 205. Colonia Aviación,sin dato,sin dato,78476,San Luis Potosí,Matehuala,488 887 8185,"Vargas Mario, Administrador",www.triaco.com,contacto@triaco57.com,Caliza,Extracción,-100.633219,23.665536,jan-25
"Concretos TPM-Fortaleza, S.A. de C.V.",Empresa,Poniente 134 n.° 719. Colonia Industrial Vallejo,Industrial Vallejo,Azcapotzalco,2300,Ciudad de México,Azcapotzalco,555 728 5300,"Rocha Font Jaime, Director ejecutivo",www.fortalezamateriales.com,jrocha@cementosfortaleza.com,"Agregados pétreos, arena, carbonato de calcio, grava","Comercialización, fabricación",-99.167803,19.495948,feb-25
"Consorcio Minero Astorga, S. A. de C. V.",Empresa,Av. Novelistas n.° 5627. Colonia Fracc. Jardines Vallarta,Jardines Vallarta,Zapopan,45027,Jalisco,Zapopan,317 383 8021,"Astorga Beltrán Norma Beatriz , Director general",s/i,consorciomineroastorga@hotmail.com,Hierro,Exploración,-103.429429,20.683931,jan-25
"Consorcio Minero Benito Juárez Peña Colorada, S.A. de C.V.",Empresa,Av. Del Trabajo n.° 1000. Colonia Tapeixtles,Tapeixtles,Manzanillo,28239,Colima,Manzanillo,314 331 0600,s/i,s/i,s/i,Fierro,"Exploración, explotación",-104.279747,19.085653,mar-25
"Constructora Grupo Tapachula, S.A. de C.V.",Empresa,"C. 4.ª av. sur, 48-A. Colonia Centro",Tapachula Centro,Tapachula,30700,Chiapas,Tapachula,962 625 1104,"González Medina Gilberto, Administrador",www.constructoragrupotapachula.mx,cgtsa@prodigy.net.mx,"Arena, concreto, grava",Comercialización,-92.267251,14.904377,jan-25
"Constructora Lova, S.A. de C.V.",Empresa,Domicilio conocido. Colonia Coatomatitlán,Coatomatitlán,Mochitlán,39230,Guerrero,Mochitlán,747 471 5201,"Rivera Villanueva Erick, Director general",s/i,lovega93@yahoo.com.mx,Agregados pétreos,"Comercialización, extracción",-99.333782,17.475069,jan-25
"Cooperativa Bomintzha, S.C.L.",Empresa,Calz. Guadalupe Victoria n.° 10. Colonia Barrio Alto 2a sección,Ciudad Cooperativa Cruz Azul Centro,Tula de Allende,42840,Hidalgo,Tula de Allende,773 724 4031,"León Sebastián Bonifacio, Representante legal",s/i,contacto@cooperativabomintzha.com,Caliza,"Comercialización, extracción",-99.34934,20.05765,jan-25
"Cooperativa La Cruz Azul, S.C.L.",Empresa,Anillo Periférico sur n.°5550. Colonia Pedregal de Carrasco,Pedregal de Carrasco,Coyoacán,4700,Ciudad de México,Coyoacán,555 424 9000,"Marín Gutiérrez José, Consejo de administración",cooperativacruzazul.com.mx,info@cruzazul.com.mx,Caliza arcillosa,"Comercialización, extracción",-99.164409,19.305248,jan-25
"Cooperativa Trabajadores Cal El Tigre, S.C. de R.L.",Empresa,Km 43 del FFCC. Colonia Bóvedas,Bóvedas,Atotonilco de Tula,42982,Hidalgo,Atotonilco de Tula,778 735 0861,"Flores Reyes Emilio, Presidente del consejo",www.caleltigre.com,produccion@caltigre.com,Cal hidratada,Fabricación,-99.217634,20.016871,jan-25
"Corporación Atsa, S.A. de C.V.",Empresa,Norte 3 n.° 26. Colonia Nuevo Parque Industrial,Nuevo Parque Industrial,San Juan del Río,76806,Querétaro,San Juan del Río,559 454 0100,"Cornejo Ricardo, Responsable",atsaminerales.com/,ricardo.cornejo@atsaminerales.com,"Caolín, carbonato de calcio",Transformación de minerales,-99.963618,20.368805,oct-25
"Cribazin, S.A. de C.V.",Empresa,Ctra. México-Laredo n.° 1900. Colonia Llano Blanco,Llano Blanco,Zimapán,42344,Hidalgo,Zimapán,759 728 2574,"Sánchez Palma Gabriel, Gerente general",s/i,crizabin@prodigy.com,Caliza,"Comercialización, compra",-99.35241,20.709241,jan-25
"Cía. Minera Autlán, S.A. de C.V.",Empresa,Julio Verne n.° 51. Colonia Polanco IV sección,Polanco V Sección,Miguel Hidalgo,11560,Ciudad de México,Miguel Hidalgo,555 262 9000,"Rivero González Pedro, Director",www.mineraautlan.com,pedro.rivero@autlan.com,Nódulos de manganeso,Explotación,-99.19703,19.42872,jan-25
"Cía. Minera El Espíritu, S.A. de C.V.",Empresa,Leandro Valle n.° 2. Colonia Centro,Centro,Zimapán,42330,Hidalgo,Zimapán,759 728 2823,"Chio Mendoza Genaro Adrián, Gerente general",s/i,factesp@gmail.com,"Plomo, zinc",Extracción,-99.381674,20.737627,jan-25
"Cía. Minera Mexicana El Rosario, S.A. de C.V.",Empresa,Ex hacienda de Bustos s/n. Colonia Cata,Cata,Guanajuato,36010,Guanajuato,Guanajuato,s/i,"Castro Villalobos Carlos, Gerente general",www.gsilver.com,info@gsilver.com,"Oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-106.564343,25.204777,jan-25
"Cía. Minera Plata Adelante, S.A. de C.V.",Empresa,Camino al Almacén n.° 476. Colonia Los Remedios,Los Remedios,Durango,34100,Durango,Durango,477 102 1800,"Meleger Galina, Relación con inversionistas",edrsilver.com,info@edrsilver.com,"Oro, plata","Exploración, extracción",-104.682306,24.019083,jan-25
"Cía. Minera Tepeapulco, S.A. de C.V.",Empresa,Ctra. Pachuca km 115-28 . Colonia Miguel Hidalgo,Miguel Hidalgo,Tepeapulco,43998,Hidalgo,Tepeapulco,771 294 0397,"Santillán Franco Germán, Administrador general",www.mineratepeapulco.com,mineratepeapulco@hotmail.com,Caliza,"Comercialización, extracción",-98.567043,19.834214,jan-25
Cía. Sta. Cruz Silver Mining LTd.,Empresa,Ex hacienda La Llava 120. Colonia La Sabina,La Llave,Zimapán,42336,Hidalgo,Zimapán,772 132 7258,"Préstamo Elizondo Arturo, Director general",www.santacruzsilver.com,info@santacruzsilver.com,"Cobre, plata, plomo, zinc","Exploración, extracción",-99.38286,20.73244,jan-25
"DIIMX Corporación, S.A. de C.V.",Empresa,"Moliere n.° 330, piso 5. Colonia Polanco III Sección",Polanco III Sección,Miguel Hidalgo,11540,Ciudad de México,Miguel Hidalgo,555 010 8900,s/i,www.dimx.com.mx,candres@dimx.com.mx,"Arena, grava","Comercialización, exploración, extracción",-99.201306,19.436889,jan-25
"Derivados y Agregados Ortiz, S.A. de C.V.",Empresa,Tulipanes n.° 105. Colonia Ampliación Adolfo López Mateos,Ampliación Adolfo López Mateos,Coatzacoalcos,96499,Veracruz de Ignacio de la Llave,Coatzacoalcos,921 217 3776,"Bonilla Delgado Pablo, Ejecutivo de ventas / Pérez Santos Marco Antonio, Ejecutivo de ventas",www.grupoortiz.mx,ventas.cotizaciones@grupoortiz.mx / ventas.cotizaciones@grupoortiz.mx,"Depósito sedimentario de toba volcánica, grava","Comercialización, extracción",-94.439806,18.123361,jan-25
"Desarrollos Mineros San Luis, S.A. de C.V.",Empresa,Paseo de las Palmas n.° 425-15. Colonia Lomas de Chapultepec,Lomas de Chapultepec I Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,733 333 9400,"Ortega Gómez Armando Fausto, Vicepresidente en México",www.equinoxgold.com,s/i,"Oro, plata",Desarrollo minero,-99.68252,17.866824,jan-25
Detalles en Cantera de Oaxaca,Empresa,Galeana n.° 4. Colonia Magdalena Apasco,Magdalena Apasco,Magdalena Apasco,68226,Oaxaca,Magdalena Apasco,951 570 9062,"Martínez Cervantes Óscar Fabián, Dueño",www.detallesencanteradeoaxaca.com.mx,detallesencantera@outlook.com,"Cantera, ónix",Comercialización,-96.819019,17.239232,feb-25
Dia Bras Mexicana (Sierra Metals Inc),Empresa,C. Blas Cano de los Ríos n.° 500. Colonia San Felipe,San Felipe I,Chihuahua,31203,Chihuahua,Chihuahua,614 305 6572,"Parra Rascón Ramón , Gerente jurídico",www.diabras.com/index.html,ramon.parra@sierrametals.com,"Cobre, oro, plata, zinc","Desarrollo minero, exploración, explotación",-106.084671,28.646007,jan-25
"Dolomita Monclova, S.A. de C.V.",Empresa,"Ctra. Monclova-Saltillo, ejido Las Coloradas. Colonia Las Coloradas",Las Coloradas,Ramos Arizpe,25942,Coahuila de Zaragoza,Ramos Arizpe,866 649 0990,s/i,www.domosa.com.mx,s/i,"Caliza, dolomita","Comercialización, extracción",-101.455222,26.21325,jan-25
"Don David Gold México, S.A. de C.V.",Empresa,Las Rosas n.° 339. Colonia Reforma,Reforma,Oaxaca de Juárez,68050,Oaxaca,Oaxaca de Juárez,s/i,"León Óscar, Gerente general",www.goldresourcecorp.com,oscar.lara@GRCMex.com,"Oro, plata",Desarrollo minero,-96.717694,17.080614,jan-25
"Duracal de Campeche, S.A. de C.V.",Empresa,Av. Héroe de Nacozari s/n. Colonia Aviación,Héroes de Nacozari,Carmen,24158,Campeche,Carmen,938 119 5586,"Pizarro Alejandro, Gerente general",s/i,duracal_campeche@hotmail.com,"Agregados pétreos, concreto","Comercialización, fabricación",-90.508227,19.815758,jan-25
Empresa Comunal La Encarnación,Empresa,El Mughi San Pedro 2. Colonia El Calvario,sin dato,sin dato,42337,Hidalgo,Zimapán,772 137 8103,"Zúñiga Martínez Manuel, Representante comunal",s/i,manuelzuniga55@hotmail.com,Mármol,Extracción,-99.38769,20.73618,jan-25
Endeavour Silver Corp.,Empresa,"Blvd. Bosques del Campestre 201, int. 208. Colonia Las Quintas",Bosques del Campestre,León,37125,Guanajuato,León,477 102 1800,"Castro Luis, Director de exploración",www.edrsilver.com,jorge.coss@edrsilver.com,Plata,Explotación,-101.68944,21.1609,jan-25
"Exploraciones Mineras Peñoles, S.A. de C.V.",Empresa,"Calz. Manuel Gómez Morín n.° 444, esq. Turín. Colonia Torreón Residencial",Torreón Residencial,Torreón,27268,Coahuila de Zaragoza,Torreón,871 729 5560,"García Fons Javier, Director de exploración / Rebollar González Rafael, Director general",www.penoles.com.mx,s/i,"Cobre, oro, plata, plomo, zinc","Comercialización, exploración",-103.401472,25.523139,jan-25
"Exploraciones Mineras Peñoles, S.A. de C.V. (Hermosillo)",Empresa,"Blvd. Juan Navarrete n.° 277, esq. Torreón. Colonia Racquet Club I Sección Sur",Racquet Club I Sección Sur,Hermosillo,83200,Sonora,Hermosillo,s/i,"García Fons Javier, Director de exploración / Rebollar González Rafael, Director general",www.penoles.com.mx,s/i,"Cobre, oro, plata, plomo, zinc","Comercialización, exploración",-110.984306,29.089722,jan-25
Exportadora de Sal-ESSA,Empresa,Av. Baja California s/n. Colonia Centro,Guerrero Negro Centro,Mulegé,23940,Baja California Sur,Mulegé,615 157 5100,"Moreno López Jesús Alberto, Gerente de adquisiciones / Petterson Olivas Carlos, Director general",www.essa.com.mx,direccion@essa.com.mx / direccion@essa.com.mx,Sal,Comercialización,-114.054,27.961,jan-25
"Extracciones Basálticas, S.A. de C.V.",Empresa,Blvd. 20 sur n.° 4323. Colonia Villa Carmel,Villa Carmel,Puebla,72567,Puebla,Puebla,222 244 9625,s/i,www.ebsa.mx/home.html,corporativo@ebsa.mx,Agregados pétreos,"Comercialización, extracción",-98.196066,19.019554,jan-25
"Fertilizantes y Minerales de México, S.A. de C.V. (Fertimmex)",Empresa,Ctra. Federal México-Laredo km 204.5. Colonia San Pedro,sin dato,sin dato,42331,Hidalgo,Zimapán,s/i,"Rivero Villanueva Marte Eric, Director general",www.fertymmex.com,ericmarterv@yahoo.com,Fosforita,Extracción,-99.330044,20.745895,jan-25
"Fertirey, S.A. de C.V.",Empresa,"Av. Instituto Tecnológico de la Laguna n.° 1318, calz. Cuauhtémoc. Colonia Torreón Centro",Torreón Centro,Torreón,27000,Coahuila de Zaragoza,Torreón,871 729 5513,"Rebollar Rafael, Director metales y químicos",www.penoles.com.mx,info@penoles.com.mx,"Sulfato, sulfuros",Comercialización,-103.437444,25.526583,jan-25
"First Majestic Plata, S.A. de C.V.",Empresa,"Universidad n.° 234, torre VI. Colonia Lomas de Guadiana",Lomas del Guadiana,Durango,34110,Durango,Durango,618 827 9070,"Lamadrid Miguel, Gerente",www.firstmajestic.com,mlamadrid@firstmajestic.com,"Oro, plata","Desarrollo minero, exploración, explotación, extracción",-104.680981,24.017099,jan-25
"Fosforita de México, S.A. de C.V.",Empresa,Ctra. México-Laredo km 104. Colonia Xindho,Xindhó San Pedro,Zimapán,42344,Hidalgo,Zimapán,442 365 1180,"Alvídrez Coronado Manuel, Director",s/i,alvidrez@geosa.mx,Fosforita,"Comercialización, extracción",-99.330382,20.750916,jan-25
Fresnillo Plc (Oficina 1),Empresa,Av. De las Industrias n.° 4335. Colonia Nombre de Dios,Zona Industrial Nombre de Dios,Chihuahua,31105,Chihuahua,Chihuahua,614 419 9943,"Gastelum Morales Guillermo, Vicepresidente de exploración",www.fresnilloplc.com,guillermo_gastelum@penoles.com.mx,"Oro, plata","Desarrollo minero, exploración, explotación",-106.086697,28.671276,jan-25
Fresnillo Plc (Oficina 2),Empresa,Calz. Legaria n.° 549. Colonia 10 de Abril,10 de Abril,Miguel Hidalgo,11250,Ciudad de México,Miguel Hidalgo,555 279 3206,"Vázquez Humberto, Director de minas",www.fresnilloplc.com,IR@fresnilloplc.com,"Oro, plata, plomo, zinc","Desarrollo minero, exploración",-99.206603,19.44766,feb-25
Fresnillo Plc (Oficina 3),Empresa,Proaño s/n. Colonia Fresnillo Centro,Fresnillo Centro,Fresnillo,99000,Zacatecas,Fresnillo,493 983 9011,"Alvídrez Ortega Octavio, Director ejecutivo",www.fresnilloplc.com.mx,ir@fresnilloplc.com,"Oro, plata","Comercialización, desarrollo minero, exploración, explotación, extracción",-102.87245,23.162833,jan-25
Fresnillo Plc (Oficina 4),Empresa,Navarrete 277. Colonia Raquet Club,Racquet Club I Sección Sur,Hermosillo,83200,Sonora,Hermosillo,662 236 1200,"Novelo Luis Felipe, Gerente regional de exploración",www.fresnilloplc.com,lf.novelo@fresnilloplc.com,"Oro, plata",Exploración,-110.984,29.09,jan-25
"G E Galaz, S.A. de C.V.",Empresa,Campeche n.° 161 entre Reforma y Guadalupe Victoria. Colonia San Benito,San Benito,Hermosillo,83190,Sonora,Hermosillo,662 210 4064,s/i,s/i,s/i,"Fierro, yeso","Comercialización, extracción",-110.967167,29.09775,jan-25
"Gorsa Materiales y Concretos, S.A.P.I. de C.V.",Empresa,"Libramiento sur ote. N.° 600, 2do. Piso. Colonia Joyas del Oriente",sin dato,sin dato,29002,Chiapas,Tuxtla Gutiérrez,961 618 9100,s/i,s/i,s/i,Agregados pétreos,"Comercialización, extracción",-93.114833,16.73475,jan-25
